sample_id,molecule_h5,condition
SRR26129856,./SRR26129856/outs/molecule_info.h5,PD
SRR26129857,./SRR26129857/outs/molecule_info.h5,PD
SRR26129858,./SRR26129858/outs/molecule_info.h5,PD
SRR26129859,./SRR26129859/outs/molecule_info.h5,PD
SRR26129860,./SRR26129860/outs/molecule_info.h5,PD
SRR26129861,./SRR26129861/outs/molecule_info.h5,PD
SRR26129862,./SRR26129862/outs/molecule_info.h5,PD
SRR26129863,./SRR26129863/outs/molecule_info.h5,PD
SRR26129864,./SRR26129864/outs/molecule_info.h5,PD
SRR26129865,./SRR26129865/outs/molecule_info.h5,PD
SRR26129866,./SRR26129866/outs/molecule_info.h5,PD
SRR26129867,./SRR26129867/outs/molecule_info.h5,PD
SRR26129868,./SRR26129868/outs/molecule_info.h5,PD
SRR26129869,./SRR26129869/outs/molecule_info.h5,PD
SRR26129870,./SRR26129870/outs/molecule_info.h5,PD
SRR26129871,./SRR26129871/outs/molecule_info.h5,PD
SRR26129872,./SRR26129872/outs/molecule_info.h5,PD
SRR26129873,./SRR26129873/outs/molecule_info.h5,PD
SRR26129874,./SRR26129874/outs/molecule_info.h5,PD
SRR26129875,./SRR26129875/outs/molecule_info.h5,PD
SRR26129876,./SRR26129876/outs/molecule_info.h5,PD
SRR26129877,./SRR26129877/outs/molecule_info.h5,PD
SRR26129878,./SRR26129878/outs/molecule_info.h5,PD
SRR26129879,./SRR26129879/outs/molecule_info.h5,PD
SRR26129880,./SRR26129880/outs/molecule_info.h5,PD
SRR26129881,./SRR26129881/outs/molecule_info.h5,PD
SRR26129882,./SRR26129882/outs/molecule_info.h5,PD
SRR26129883,./SRR26129883/outs/molecule_info.h5,PD
SRR26129884,./SRR26129884/outs/molecule_info.h5,PD
SRR26129885,./SRR26129885/outs/molecule_info.h5,PD
SRR26129886,./SRR26129886/outs/molecule_info.h5,PD
SRR26129887,./SRR26129887/outs/molecule_info.h5,PD
SRR26129888,./SRR26129888/outs/molecule_info.h5,PD
SRR26129889,./SRR26129889/outs/molecule_info.h5,PD
SRR26129890,./SRR26129890/outs/molecule_info.h5,PD
SRR26129891,./SRR26129891/outs/molecule_info.h5,PD
SRR26129892,./SRR26129892/outs/molecule_info.h5,PD
